pclass,sex,age,fare,adult_male,alone,Southampton,family
2,1,51.0,12.525,1,1,1,0
2,1,27.0,13.0,1,1,1,0
2,1,42.0,13.0,1,1,1,0
2,1,54.0,26.0,1,0,1,1
3,1,28.0,8.05,1,1,1,0
3,0,20.0,8.6625,0,1,1,0
3,1,26.0,8.05,1,1,1,0
3,1,28.0,7.8958,1,1,1,0
3,0,14.5,14.4542,0,0,0,1
3,1,21.0,8.4333,1,1,1,0
3,1,28.0,7.25,1,1,1,0
1,1,47.5,26.55,1,1,1,0
1,1,45.0,35.5,1,1,1,0
3,1,47.0,9.0,1,1,1,0
1,1,40.0,27.7208,1,1,0,0
3,1,28.0,7.2292,1,1,0,0
3,1,28.0,7.8958,1,1,1,0
1,1,28.0,35.0,1,1,1,0
3,1,42.0,7.55,1,1,1,0
3,1,29.0,7.875,1,1,1,0
3,1,9.0,46.9,0,0,1,7
3,0,23.0,7.925,0,1,1,0
3,1,21.0,8.6625,1,1,1,0
2,0,24.0,13.0,0,1,1,0
3,1,28.0,7.8958,1,1,1,0
3,1,26.0,8.6625,1,0,1,2
3,0,28.0,7.6292,0,1,0,0
3,1,18.0,7.75,1,1,1,0
3,1,7.0,39.6875,0,0,1,5
3,1,28.0,7.8958,1,1,1,0
2,1,25.0,26.0,1,0,1,1
2,1,39.0,13.0,1,1,1,0
1,1,49.0,65.6344,1,0,0,2
3,1,21.0,7.775,1,1,1,0
3,1,28.0,22.525,1,1,1,0
3,1,8.0,29.125,0,0,0,5
3,1,21.0,7.925,1,1,1,0
3,1,17.0,8.6625,1,1,1,0
3,0,39.0,29.125,0,0,0,5
3,0,11.0,31.275,0,0,1,6
3,1,30.0,7.25,1,1,1,0
3,1,33.0,8.6625,1,1,0,0
3,1,2.5,21.075,0,0,1,4
3,1,17.0,7.0542,1,0,1,1
1,1,28.0,0.0,1,1,1,0
2,1,29.0,10.5,1,1,1,0
3,1,30.0,7.8958,1,1,1,0
3,1,19.0,14.5,1,1,1,0
3,1,41.0,7.125,1,1,1,0
3,1,45.5,7.225,1,1,0,0
3,1,30.0,8.05,1,1,1,0
3,0,18.0,18.0,0,0,1,2
3,1,24.0,7.8958,1,1,1,0
3,1,20.5,7.25,1,1,1,0
3,1,26.0,7.8875,1,1,1,0
3,1,34.0,14.4,1,0,1,2
3,0,25.0,7.775,0,1,1,0
1,1,50.0,55.9,1,0,1,1
3,0,30.0,8.6625,0,1,1,0
3,1,44.0,8.05,1,1,1,0
3,0,28.0,8.05,0,1,1,0
3,1,47.5,7.75,1,1,0,0
2,1,21.0,65.6344,1,0,1,2
3,1,32.0,7.925,1,1,1,0
3,1,50.0,8.05,1,1,1,0
3,1,47.5,7.25,1,1,1,0
3,1,28.0,7.75,1,1,0,0
1,1,31.0,50.4958,1,1,1,0
1,1,33.0,5.0,1,1,1,0
3,1,35.0,8.05,1,1,1,0
1,1,47.5,26.0,1,1,1,0
3,1,30.0,16.1,1,0,1,1
3,1,24.0,16.1,1,0,1,1
3,1,28.0,6.95,1,1,0,0
3,1,34.0,6.4958,1,1,1,0
3,1,22.0,7.8958,1,1,1,0
3,0,6.0,31.275,0,0,1,6
3,0,28.0,8.05,0,1,1,0
3,1,25.0,7.65,1,1,1,0
3,1,28.0,19.9667,1,0,1,1
3,1,40.0,7.8958,1,1,1,0
3,1,2.5,39.6875,0,0,1,5
1,1,19.0,53.1,1,0,1,1
3,1,28.0,23.45,1,0,1,3
